name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3_4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Egor Demin,BYU,Freshman,PG/SG,"6'9.5""(6'10.25"" wingspan)",199 lbs,18th|WAS,18th,19.30 yrs,"Mar 3, 2006",Russia,"Moscow, Russia",Moscow Basketball AcademyMoscow Basketball Academy,,"Draft Age (3 pluses), 2P% (2 pluses), Assists (2 pluses), Fouls (2 pluses), Def. Rebounds (1 pluses), AST%/Usage (1 pluses), Blocks (1 pluses)","3P% (3 minuses), Win Shares (3 minuses), Off. Win Shares (3 minuses), PER (3 minuses), Off. Rating (2 minuses), TS% (2 minuses), Turnovers (2 minuses), Wingspan Ratio (2 minuses), FT% (2 minuses), Off. BPM (2 minuses), Off. Rebounds (2 minuses), Points (2 minuses), FG% (2 minuses), BPM (2 minuses), Def. Rating (1 minuses), Proj NBA 3P% (1 minuses), EFG% (1 minuses), FTA Rate (1 minuses)","32.0""",11.31,2.93,3.33,"8'9.5""","6'10.25""",33,27.5,3.8-9.3,0.412,1.3-4.7,0.273,1.7-2.5,0.695,3.9,5.5,0.4,1.2,2.9,1.2,10.6,33,36.0,5.0-12.1,0.412,1.7-6.1,0.273,2.3-3.3,0.695,5.1,7.1,0.5,1.5,3.8,1.6,13.9,0.509,0.48,0.503,0.268,0.344,24.5,1.41,1.86,15.6,0.048,0.057,0.101,103.9,105.6,3.1,2.2,5.3
Rasheer Fleming,Saint Joseph's,Junior,PF,"6'9.5""(7'5.25"" wingspan)",232 lbs,20th|MIA,19th,20.95 yrs,"Jul 10, 2004",USA,"Camden, NJ",Camden High SchoolCamden HS,,"Wingspan Ratio (3 pluses), 2P% (2 pluses), Proj NBA 3P% (2 pluses), EFG% (2 pluses), Steals (2 pluses), TS% (2 pluses), Turnovers (1 pluses), Off. Rating (1 pluses), 3P% (1 pluses), Def. Win Shares (1 pluses)","FTA Rate (2 minuses), Off. Rebounds (1 minuses)","32.5""",10.95,2.72,3.24,"9'1""","7'5.25""",35,31.3,5.4-10.1,0.531,1.8-4.5,0.39,2.1-2.9,0.743,8.5,1.3,1.5,1.4,1.5,2.5,14.7,35,36.0,6.2-11.6,0.531,2.0-5.2,0.39,2.5-3.3,0.743,9.8,1.4,1.8,1.6,1.8,2.9,16.9,0.638,0.619,0.449,0.285,0.36,21.2,0.4,0.81,24.1,0.11,0.095,0.205,123.9,95.0,4.5,3.1,7.7
Nique Clifford,Colorado State,Senior,SG/SF,"6'6.5""(6'8"" wingspan)",202 lbs,16th|MEM,20th,23.36 yrs,"Feb 9, 2002",USA,"Colorado Springs, CO",The Vanguard SchoolThe Vanguard School,,"Def. Rebounds (4 pluses), Rebounds (4 pluses), Assists (2 pluses), Def. Win Shares (2 pluses), AST%/Usage (2 pluses), 2P% (2 pluses), FG% (2 pluses), Win Shares (2 pluses), BPM (2 pluses), PER (1 pluses), AST/TO (1 pluses), Def. BPM (1 pluses), Off. BPM (1 pluses), TS% (1 pluses), EFG% (1 pluses), Off. Rebounds (1 pluses), Def. Rating (1 pluses), Points (1 pluses), Off. Rating (1 pluses), Off. Win Shares (1 pluses)","Draft Age (4 minuses), Wingspan Ratio (1 minuses), Turnovers (1 minuses)","35.5""",10.87,2.96,3.07,"8'6.5""","6'8""",36,35.4,6.6-13.3,0.496,1.8-4.9,0.377,3.9-5.0,0.777,9.6,4.4,0.6,1.2,2.6,2.4,18.9,36,36.0,6.7-13.6,0.496,1.9-4.9,0.377,3.9-5.1,0.777,9.8,4.5,0.6,1.2,2.6,2.5,19.2,0.603,0.565,0.365,0.373,0.361,27.7,0.97,1.72,25.1,0.129,0.091,0.22,119.2,96.1,7.2,3.8,11.1
Joan Beringer,KK Cedevita Junior (Croatia),International,C,"6'10""",230 lbs,24th|OKC,21st,18.61 yrs,"Nov 11, 2006",France,"Strasbourg, France",,,"Draft Age (4 pluses), Turnovers (3 pluses), FG% (2 pluses), EFG% (1 pluses), Off. Rating (1 pluses), 2P% (1 pluses), TS% (1 pluses)","PER (4 minuses), Points (3 minuses), Def. Rating (3 minuses), Fouls (2 minuses), Proj NBA 3P% (1 minuses), FT% (1 minuses), Assists (1 minuses), Rebounds (1 minuses), Def. Rebounds (1 minuses)",,,,,,,64,18.8,2.2-3.4,0.644,0.0-0.0,0.0,1.0-1.8,0.566,4.9,0.5,1.4,0.5,0.7,2.3,5.4,64,36.0,4.2-6.6,0.644,0.0-0.0,0.0,1.9-3.4,0.566,9.4,0.9,2.7,1.0,1.3,4.5,10.4,0.634,0.644,0.005,0.516,0.299,12.3,0.34,0.7,16.2,,,,125.6,103.4,,,
Liam McNeeley,UConn,Freshman,SF,"6'8""(6'8.5"" wingspan)",215 lbs,23rd|NO,22nd,19.69 yrs,"Oct 10, 2005",USA,"Richardson, TX",Montverde AcademyMontverde Academy,#9 |2024,"FT% (3 pluses), Proj NBA 3P% (1 pluses), Draft Age (1 pluses)","FG% (3 minuses), Def. Rating (3 minuses), EFG% (3 minuses), Steals (3 minuses), 2P% (3 minuses), BPM (3 minuses), Wingspan Ratio (2 minuses), PER (2 minuses), Blocks (2 minuses), Def. BPM (2 minuses), Off. Rebounds (2 minuses), Off. BPM (2 minuses), Def. Win Shares (1 minuses), Win Shares (1 minuses), TS% (1 minuses), 3P% (1 minuses), Off. Win Shares (1 minuses)","36.5""",11.11,2.75,3.16,"8'3.5""","6'8.5""",27,32.1,4.4-11.5,0.381,1.7-5.4,0.317,4.1-4.7,0.866,6.0,2.3,0.2,0.6,1.9,2.0,14.5,27,36.0,4.9-12.9,0.381,1.9-6.0,0.317,4.6-5.3,0.866,6.7,2.5,0.2,0.6,2.1,2.2,16.3,0.529,0.455,0.468,0.41,0.373,25.6,0.51,1.22,16.1,0.083,0.051,0.134,112.5,107.1,2.6,0.8,3.4
Danny Wolf,Michigan,Junior,PF/C,"6'11.75""(7'2.25"" wingspan)",252 lbs,22nd|ATL,23rd,21.13 yrs,"May 4, 2004",USA,"Glencoe, IL",Northfield Mount HermonNorthfield Mount Hermon,,"AST%/Usage (4 pluses), Assists (4 pluses), Def. BPM (2 pluses), Def. Rebounds (2 pluses), AST/TO (1 pluses), Rebounds (1 pluses), Fouls (1 pluses)","Turnovers (4 minuses), Off. Win Shares (3 minuses), FT% (2 minuses), Off. Rating (2 minuses), PER (2 minuses), Win Shares (2 minuses), Steals (1 minuses), Points (1 minuses), FTA Rate (1 minuses), TS% (1 minuses), Wingspan Ratio (1 minuses), Draft Age (1 minuses)","30.0""",11.26,2.91,3.51,"9'1""","7'2.25""",37,30.5,5.0-10.1,0.497,1.0-3.1,0.336,2.1-3.6,0.594,9.7,3.6,1.4,0.7,3.2,2.1,13.2,37,36.0,5.9-11.9,0.497,1.2-3.6,0.336,2.5-4.2,0.594,11.5,4.2,1.6,0.8,3.8,2.4,15.6,0.559,0.548,0.302,0.356,0.324,24.2,0.94,1.1,19.4,0.053,0.089,0.145,105.7,96.1,4.3,5.2,9.5
Nolan Traore,Saint-Quentin (France),International,PG,"6'3""",175 lbs,21st|UTA,24th,19.06 yrs,"May 28, 2006",France,"Chennevières-sur-Marne, France",,,"Draft Age (3 pluses), Assists (2 pluses), AST%/Usage (1 pluses)","Fouls (4 minuses), Def. Rating (4 minuses), PER (3 minuses), TS% (2 minuses), Turnovers (2 minuses), Def. Rebounds (2 minuses), Rebounds (2 minuses), Off. Rating (2 minuses), EFG% (2 minuses), FG% (2 minuses), 3P% (2 minuses), FT% (2 minuses), Blocks (2 minuses), Steals (1 minuses), 2P% (1 minuses)",,,,,,,44,22.7,4.3-10.5,0.41,1.3-4.0,0.314,2.4-3.4,0.711,1.9,4.7,0.0,0.7,2.5,2.3,12.3,44,36.0,6.8-16.6,0.41,2.0-6.3,0.314,3.8-5.4,0.711,3.0,7.4,0.1,1.1,3.9,3.7,19.4,0.507,0.47,0.38,0.323,0.353,30.4,1.41,1.91,15.4,,,,105.7,114.5,,,
Will Riley,Illinois,Freshman,SG/SF,"6'9.5""(6'8.75"" wingspan)",186 lbs,26th|BKN,25th,19.36 yrs,"Feb 10, 2006",Canada,"Kitchener, ON",The Phelps SchoolThe Phelps School,#12 |2024,"Fouls (2 pluses), AST/TO (2 pluses), Draft Age (2 pluses), Turnovers (1 pluses), Off. Rebounds (1 pluses)","Steals (4 minuses), Wingspan Ratio (3 minuses), Def. Rating (3 minuses), Def. Win Shares (2 minuses), PER (1 minuses), TS% (1 minuses), 3P% (1 minuses), EFG% (1 minuses), FT% (1 minuses), Win Shares (1 minuses), FG% (1 minuses), Proj NBA 3P% (1 minuses), Def. BPM (1 minuses)","32.0""",11.73,3.08,3.21,"8'8""","6'8.75""",35,25.7,4.4-10.3,0.432,1.3-4.1,0.326,2.4-3.3,0.724,4.1,2.2,0.3,0.3,1.2,1.2,12.6,35,36.0,6.2-14.4,0.432,1.9-5.8,0.326,3.4-4.6,0.724,5.8,3.1,0.4,0.4,1.7,1.7,17.7,0.532,0.497,0.401,0.323,0.353,23.8,0.68,1.86,17.4,0.102,0.044,0.147,118.0,108.2,4.8,1.7,6.5
Walter Clayton Jr.,Florida,Senior,PG,"6'3.25""(6'4"" wingspan)",199 lbs,25th|ORL,26th,22.29 yrs,"Mar 6, 2003",USA,"Lake Wales, FL",Bartow High SchoolBartow HS,,"Proj NBA 3P% (3 pluses), FT% (2 pluses), BPM (2 pluses), Off. Rating (2 pluses), Blocks (2 pluses), EFG% (1 pluses), TS% (1 pluses), 2P% (1 pluses), Off. BPM (1 pluses), Def. BPM (1 pluses), Points (1 pluses)","Draft Age (3 minuses), Wingspan Ratio (2 minuses), Off. Rebounds (2 minuses), FTA Rate (1 minuses), AST%/Usage (1 minuses), Steals (1 minuses)","37.0""",10.52,2.81,3.14,"8'1.5""","6'4""",39,32.6,6.0-13.4,0.448,3.0-7.8,0.386,3.2-3.7,0.875,3.7,4.2,0.5,1.2,2.4,1.9,18.3,39,36.0,6.7-14.8,0.448,3.3-8.6,0.386,3.6-4.1,0.875,4.1,4.6,0.6,1.3,2.7,2.1,20.2,0.602,0.56,0.578,0.275,0.398,25.6,0.91,1.73,21.6,0.138,0.066,0.205,124.4,102.4,7.8,3.4,11.2
Ben Saraf,Ratiopharm Ulm,International,PG/SG,"6'5""",200 lbs,29th|PHX,27th,19.18 yrs,"Apr 14, 2006",Israel,"Gan Yoshiya, Israel",,,"Draft Age (3 pluses), Off. Rebounds (2 pluses), Assists (1 pluses), Blocks (1 pluses)","Fouls (4 minuses), Turnovers (3 minuses), PER (3 minuses), 3P% (2 minuses), Off. Rating (2 minuses), Def. Rating (2 minuses), TS% (2 minuses), Proj NBA 3P% (2 minuses), EFG% (1 minuses), AST/TO (1 minuses), Def. Rebounds (1 minuses)",,,,,,,57,23.5,4.5-10.1,0.447,0.7-2.3,0.295,2.5-3.2,0.761,2.8,4.2,0.3,1.1,2.7,2.3,12.2,57,36.0,6.9-15.5,0.447,1.0-3.5,0.295,3.8-4.9,0.761,4.3,6.4,0.5,1.7,4.2,3.5,18.6,0.523,0.481,0.23,0.32,0.343,27.6,1.17,1.54,15.8,,,,105.1,107.6,,,
Noah Penda,Le Mans Sarthe (France),International,SF,"6'7""",225 lbs,27th|BKN,28th,20.45 yrs,"Jan 7, 2005",France,,,,"Steals (2 pluses), Assists (2 pluses), AST/TO (1 pluses), FTA Rate (1 pluses)","Points (1 minuses), FT% (1 minuses), 3P% (1 minuses), Proj NBA 3P% (1 minuses), FG% (1 minuses), EFG% (1 minuses), Blocks (1 minuses), TS% (1 minuses)",,,,,,,29,26.9,3.4-7.8,0.44,1.0-3.2,0.304,2.4-3.5,0.693,5.1,2.6,0.4,1.4,1.7,2.1,10.2,29,36.0,4.6-10.4,0.44,1.3-4.2,0.304,3.2-4.7,0.693,6.8,3.5,0.5,1.8,2.3,2.8,13.7,0.542,0.502,0.409,0.449,0.338,,,1.55,,,,,,,,,
Hugo González,Real Madrid (Spain),International,SF,"6'6""",207 lbs,31st|MIN,29th,19.37 yrs,"Feb 5, 2006",Spain,"Madrid, Spain",,,Draft Age (2 pluses),"Fouls (4 minuses), Points (3 minuses), FG% (2 minuses), EFG% (2 minuses), TS% (2 minuses), 3P% (2 minuses), Steals (1 minuses), Def. Rebounds (1 minuses), Rebounds (1 minuses), Proj NBA 3P% (1 minuses)",,,,,,,56,11.2,1.2-3.0,0.407,0.4-1.3,0.278,0.8-1.1,0.75,1.9,0.6,0.3,0.3,0.6,1.9,3.6,56,36.0,3.9-9.6,0.407,1.1-4.1,0.278,2.6-3.4,0.75,6.3,2.0,1.0,0.9,2.1,6.0,11.5,0.514,0.467,0.431,0.359,0.342,,,0.97,,,,,,,,,
Adou Thiero,Arkansas,Junior,SF/PF,"6'7.5""(7'0"" wingspan)",218 lbs,33rd|CHA,30th,21.12 yrs,"May 8, 2004",USA,"Pittsburgh, PA",Quaker Valley High SchoolQuaker Valley HS,,"FTA Rate (4 pluses), Steals (3 pluses), FG% (3 pluses), 2P% (2 pluses), Def. BPM (2 pluses), BPM (2 pluses), PER (1 pluses), Points (1 pluses), TS% (1 pluses), Off. Rebounds (1 pluses), Off. Rating (1 pluses), EFG% (1 pluses), Win Shares (1 pluses)","Proj NBA 3P% (3 minuses), 3P% (2 minuses), Fouls (2 minuses), FT% (1 minuses), Draft Age (1 minuses)",,,,,"8'8.5""","7'0""",27,27.5,5.1-9.4,0.545,0.4-1.6,0.256,4.4-6.5,0.686,5.8,1.9,0.7,1.6,1.7,2.6,15.1,27,36.0,6.7-12.3,0.545,0.5-2.1,0.256,5.8-8.5,0.686,7.6,2.5,1.0,2.1,2.2,3.3,19.7,0.605,0.567,0.17,0.692,0.322,25.8,0.54,1.11,25.1,0.124,0.081,0.205,120.6,99.2,5.9,4.7,10.6
Ryan Kalkbrenner,Creighton,Senior,C,"7'2.25""(7'6"" wingspan)",257 lbs,34th|CHA,31st,23.42 yrs,"Jan 17, 2002",USA,"Florissant, MO",Trinity CatholicTrinity Catholic,,"Fouls (3 pluses), 2P% (3 pluses), Off. Rating (3 pluses), TS% (3 pluses), EFG% (3 pluses), Turnovers (2 pluses), FG% (2 pluses), AST/TO (2 pluses), Off. BPM (2 pluses), Off. Win Shares (1 pluses), Points (1 pluses), BPM (1 pluses), 3P% (1 pluses), PER (1 pluses)","Draft Age (4 minuses), Off. Rebounds (2 minuses), Def. Rating (2 minuses), Rebounds (1 minuses), Steals (1 minuses), FTA Rate (1 minuses)","33.0""",12.05,3.1,3.34,"9'4""","7'6""",35,34.5,7.7-11.9,0.653,0.6-1.7,0.344,3.1-4.6,0.681,8.7,1.5,2.7,0.5,1.5,1.4,19.2,35,36.0,8.1-12.4,0.653,0.6-1.8,0.344,3.3-4.8,0.681,9.0,1.6,2.8,0.6,1.5,1.5,20.1,0.684,0.678,0.147,0.386,0.326,23.6,0.42,1.06,29.1,0.159,0.08,0.235,132.7,99.4,7.7,4.4,12.2
Kam Jones,Marquette,Senior,PG/SG,"6'4.5""(6'6"" wingspan)",202 lbs,30th|LAC,32nd,23.32 yrs,"Feb 25, 2002",USA,"Memphis, TN",Evangelical Christian SchoolEvangelical Christian School,,"AST/TO (4 pluses), 2P% (3 pluses), Turnovers (2 pluses), FG% (1 pluses), BPM (1 pluses), Off. BPM (1 pluses), AST%/Usage (1 pluses), Assists (1 pluses), Points (1 pluses), Def. BPM (1 pluses)","Draft Age (4 minuses), FT% (3 minuses), FTA Rate (3 minuses), 3P% (2 minuses), Wingspan Ratio (1 minuses), Proj NBA 3P% (1 minuses)","31.5""",11.42,3.11,3.27,"8'4.5""","6'6""",34,33.8,7.8-16.2,0.483,1.9-6.1,0.311,1.7-2.6,0.648,4.5,5.9,0.3,1.4,1.9,2.2,19.2,34,36.0,8.3-17.3,0.483,2.0-6.5,0.311,1.8-2.8,0.648,4.8,6.3,0.3,1.5,2.0,2.3,20.5,0.551,0.541,0.374,0.16,0.345,28.9,1.32,3.17,24.5,0.136,0.066,0.202,119.4,103.0,7.3,3.3,10.6
Hansen Yang,Qingdao (China),International,C,"7'2.25""(7'2.75"" wingspan)",253 lbs,36th|BKN,33rd,19.98 yrs,"Jun 26, 2005",China,China,,,"Assists (3 pluses), AST%/Usage (2 pluses), AST/TO (1 pluses), 2P% (1 pluses), Draft Age (1 pluses)","Def. Rating (3 minuses), Turnovers (3 minuses), Wingspan Ratio (2 minuses), PER (2 minuses)","30.0""",11.79,3.01,3.38,"9'3""","7'2.75""",53,33.0,6.3-10.6,0.595,0.3-1.1,0.286,3.2-4.7,0.677,10.0,2.8,2.7,0.9,3.1,3.2,16.2,53,36.0,6.9-11.6,0.595,0.3-1.2,0.286,3.5-5.2,0.677,11.0,3.1,3.0,1.0,3.4,3.4,17.6,0.627,0.609,0.099,0.446,0.318,21.4,0.65,0.91,20.2,,,,115.0,103.9,,,
Johni Broome,Auburn,Senior,PF/C,"6'10.5""(7'0.25"" wingspan)",249 lbs,37th|DET,34th,22.92 yrs,"Jul 19, 2002",USA,"Plant City, FL",Tampa Catholic High SchoolTampa Catholic HS,,"AST/TO (4 pluses), BPM (3 pluses), Off. BPM (3 pluses), Assists (3 pluses), Rebounds (2 pluses), Off. Rebounds (2 pluses), Points (2 pluses), PER (2 pluses), Def. Rebounds (2 pluses), AST%/Usage (2 pluses), Def. BPM (2 pluses), Blocks (1 pluses), Win Shares (1 pluses), Turnovers (1 pluses), Off. Win Shares (1 pluses), Fouls (1 pluses), Def. Win Shares (1 pluses), Off. Rating (1 pluses)","Draft Age (3 minuses), FT% (2 minuses), Wingspan Ratio (1 minuses), TS% (1 minuses), Proj NBA 3P% (1 minuses)","28.0""",11.52,3.23,3.37,"9'0.5""","7'0.25""",36,30.2,7.3-14.3,0.51,0.7-2.5,0.278,3.3-5.6,0.587,10.8,2.9,2.1,0.9,1.6,2.1,18.6,36,36.0,8.7-17.1,0.51,0.8-3.0,0.278,3.9-6.7,0.587,12.9,3.4,2.5,1.1,1.9,2.5,22.1,0.547,0.534,0.174,0.39,0.315,30.4,0.64,1.82,30.9,0.154,0.096,0.25,121.7,94.8,9.6,4.7,14.3
Yanic Konan Niederhauser,Penn State,Junior,C,"7'0.5""(7'3.25"" wingspan)",243 lbs,41st|GS,35th,22.27 yrs,"Mar 14, 2003",Switzerland,"Fraschels, Switzerland",Urspring SchoolUrspring School,,"2P% (1 pluses), Blocks (1 pluses), FG% (1 pluses)","Draft Age (3 minuses), Def. Rating (2 minuses), Rebounds (1 minuses), Off. BPM (1 minuses), 3P% (1 minuses), Def. Rebounds (1 minuses), AST%/Usage (1 minuses), Win Shares (1 minuses), Off. Rebounds (1 minuses), BPM (1 minuses), Def. Win Shares (1 minuses), AST/TO (1 minuses)","37.0""",11.45,2.84,3.2,"9'3""","7'3.25""",29,25.1,4.9-8.1,0.611,0.0-0.4,0.091,3.0-4.5,0.664,6.3,0.8,2.3,0.7,1.7,2.5,12.9,29,36.0,7.1-11.6,0.611,0.0-0.5,0.091,4.3-6.5,0.664,9.1,1.1,3.3,0.9,2.4,3.6,18.5,0.631,0.613,0.047,0.56,0.313,23.5,0.26,0.46,24.3,0.104,0.077,0.181,118.9,100.2,2.9,3.1,6.1
Bogoljub Marković,KK Mega Basket (Serbia),International,PF,"6'11""",190 lbs,35th|PHI,36th,19.94 yrs,"Jul 12, 2005",Serbia,"Uzise, Serbia",,,"Assists (2 pluses), TS% (1 pluses), 2P% (1 pluses), EFG% (1 pluses), Proj NBA 3P% (1 pluses), FT% (1 pluses), AST/TO (1 pluses), Draft Age (1 pluses)","Turnovers (2 minuses), Off. Rebounds (2 minuses), Fouls (2 minuses), Rebounds (1 minuses), Blocks (1 minuses)",,,,,,,30,29.4,4.7-8.8,0.538,1.0-2.7,0.37,3.3-4.3,0.76,6.8,2.7,0.8,0.8,2.7,3.4,13.7,30,36.0,5.8-10.8,0.538,1.2-3.3,0.37,4.0-5.3,0.76,8.4,3.3,1.0,1.0,3.3,4.2,16.8,0.633,0.595,0.307,0.489,0.348,,,0.98,,,,,,,,,
