name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3_4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Drake Powell,North Carolina,Freshman,SG,"6'6.5""(7'0"" wingspan)",200 lbs,32nd|BOS,37th,19.78 yrs,"Sep 8, 2005",USA,"Pittsboro, NC",Northwood High SchoolNorthwood HS,#13 |2024,"Turnovers (3 pluses), Blocks (2 pluses), 2P% (2 pluses), Wingspan Ratio (1 pluses), FG% (1 pluses), EFG% (1 pluses), Def. BPM (1 pluses), Draft Age (1 pluses)","Points (4 minuses), PER (3 minuses), Def. Rating (3 minuses), FT% (3 minuses), Win Shares (3 minuses), Assists (2 minuses), Proj NBA 3P% (2 minuses), Off. Win Shares (2 minuses), Def. Win Shares (1 minuses), Off. BPM (1 minuses), FTA Rate (1 minuses), Steals (1 minuses), AST%/Usage (1 minuses)","43.0""",10.71,2.79,3.07,"8'7""","7'0""",37,25.6,2.8-5.7,0.483,1.0-2.6,0.379,0.9-1.5,0.648,3.4,1.1,0.7,0.7,0.7,1.8,7.4,37,36.0,3.9-8.0,0.483,1.4-3.6,0.379,1.3-2.1,0.648,4.8,1.5,1.0,1.0,1.0,2.5,10.5,0.581,0.569,0.45,0.256,0.336,13.8,0.51,1.48,12.9,0.059,0.046,0.106,118.0,107.9,2.8,3.3,6.1
Maxime Raynaud,Stanford,Senior,C,"7'1.5""(7'1.25"" wingspan)",237 lbs,28th|BOS,38th,22.20 yrs,"Apr 7, 2003",France,"Paris, France",Lycee Henri IVLycee Henri IV,,"Proj NBA 3P% (4 pluses), Points (2 pluses), Fouls (2 pluses), FT% (2 pluses), Def. Rebounds (1 pluses), 3P% (1 pluses), Off. BPM (1 pluses)","Def. BPM (4 minuses), Wingspan Ratio (3 minuses), FG% (3 minuses), Def. Rating (3 minuses), FTA Rate (3 minuses), Draft Age (3 minuses), TS% (2 minuses), Blocks (2 minuses), EFG% (2 minuses), 2P% (2 minuses), Def. Win Shares (1 minuses), Win Shares (1 minuses), Off. Rating (1 minuses), Off. Rebounds (1 minuses), Off. Win Shares (1 minuses)","31.5""",11.31,3.16,3.23,"9'2""","7'1.25""",35,33.5,7.5-16.1,0.467,1.9-5.5,0.347,3.3-4.2,0.77,10.6,1.7,1.4,0.9,2.4,2.0,20.2,35,36.0,8.1-17.3,0.467,2.1-5.9,0.347,3.5-4.5,0.77,11.4,1.8,1.5,0.9,2.6,2.2,21.7,0.558,0.527,0.343,0.263,0.363,31.5,0.38,0.69,25.6,0.102,0.068,0.171,112.2,101.9,6.2,0.8,7.0
Alex Toohey,Sydney (NBL),International,SF,"6'9""(6'10.75"" wingspan)",223 lbs,39th|TOR,39th,21.13 yrs,"May 4, 2004",Australia,"Canberra, Australia",,,"Steals (3 pluses), Turnovers (1 pluses), Blocks (1 pluses)","Def. Rating (4 minuses), PER (1 minuses), Def. Rebounds (1 minuses), Wingspan Ratio (1 minuses), Rebounds (1 minuses), Draft Age (1 minuses)","31.5""",11.38,2.9,3.2,"8'8.5""","6'10.75""",32,23.5,4.0-8.6,0.465,1.0-2.9,0.34,2.4-3.2,0.738,3.8,1.3,0.8,1.4,1.1,1.7,11.4,32,36.0,6.1-13.2,0.465,1.5-4.5,0.34,3.6-4.9,0.738,5.8,2.1,1.2,2.2,1.7,2.6,17.4,0.562,0.524,0.342,0.375,0.349,20.4,0.46,1.23,17.7,,,,114.9,109.2,,,
Sion James,Duke,Senior,SF,"6'5.75""(6'6.5"" wingspan)",218 lbs,40th|WAS,40th,22.54 yrs,"Dec 4, 2002",USA,"Sugar Hill, GA",Lanier High SchoolLanier HS,,"AST/TO (4 pluses), AST%/Usage (4 pluses), Off. Rating (3 pluses), Assists (3 pluses), Def. BPM (2 pluses), TS% (2 pluses), EFG% (2 pluses), FG% (2 pluses), FTA Rate (1 pluses), Turnovers (1 pluses), Def. Win Shares (1 pluses), 2P% (1 pluses), 3P% (1 pluses), FT% (1 pluses), Win Shares (1 pluses), BPM (1 pluses)","Draft Age (3 minuses), Points (2 minuses), Wingspan Ratio (2 minuses), Off. Rebounds (2 minuses), Blocks (2 minuses), PER (1 minuses), Rebounds (1 minuses)","39.5""",10.91,2.93,2.97,"8'4""","6'6.5""",39,25.5,2.9-5.6,0.516,0.8-1.9,0.413,2.1-2.6,0.81,4.2,2.9,0.3,0.8,1.2,2.0,8.6,39,36.0,4.0-7.8,0.516,1.1-2.7,0.413,2.9-3.6,0.81,5.9,4.2,0.4,1.2,1.7,2.9,12.1,0.635,0.588,0.346,0.461,0.355,16.2,1.17,2.45,17.9,0.116,0.088,0.205,131.1,96.8,4.3,4.9,9.3
Chaz Lanier,Tennessee,Senior,SG,"6'5""(6'9"" wingspan)",206 lbs,38th|SA,41st,23.50 yrs,"Dec 19, 2001",USA,"Nashville, TN",The Ensworth SchoolThe Ensworth School,,"Turnovers (3 pluses), Proj NBA 3P% (2 pluses), Fouls (2 pluses), Points (2 pluses), BPM (1 pluses), Off. BPM (1 pluses)","Draft Age (4 minuses), Assists (3 minuses), AST%/Usage (3 minuses), FTA Rate (3 minuses), Blocks (2 minuses), Off. Rebounds (2 minuses), AST/TO (1 minuses), Steals (1 minuses), Rebounds (1 minuses), Def. Rating (1 minuses), 2P% (1 minuses), FG% (1 minuses)","39.0""",10.53,2.96,3.12,"8'5.5""","6'9""",38,31.4,6.4-14.8,0.431,3.2-8.2,0.395,2.0-2.6,0.758,3.9,1.1,0.1,0.9,1.1,1.6,18.0,38,36.0,7.3-17.0,0.431,3.7-9.4,0.395,2.3-3.0,0.758,4.5,1.2,0.2,1.0,1.3,1.8,20.7,0.56,0.54,0.551,0.176,0.389,28.8,0.27,0.95,19.5,0.107,0.067,0.174,117.2,102.4,6.1,2.7,8.9
Koby Brea,Kentucky,Senior,SG,"6'7""(6'5.25"" wingspan)",202 lbs,43rd|UTA,42nd,22.62 yrs,"Nov 6, 2002",USA,"Bronx, NY",Monsignor Scanlan High SchoolMonsignor Scanlan HS,,"AST/TO (4 pluses), Turnovers (4 pluses), Proj NBA 3P% (3 pluses), EFG% (3 pluses), FT% (3 pluses), Off. Rating (3 pluses), TS% (3 pluses), Fouls (2 pluses), 3P% (2 pluses), 2P% (1 pluses)","Def. Rating (4 minuses), Wingspan Ratio (4 minuses), FTA Rate (4 minuses), Steals (3 minuses), Def. Win Shares (3 minuses), Off. Rebounds (3 minuses), Draft Age (3 minuses), PER (2 minuses), Assists (2 minuses), Win Shares (2 minuses), Rebounds (1 minuses), Points (1 minuses), Def. BPM (1 minuses), AST%/Usage (1 minuses)","34.0""",11.4,3.23,3.31,"8'5.5""","6'5.25""",36,28.1,4.1-8.7,0.47,2.6-5.9,0.435,0.9-1.0,0.914,3.2,1.3,0.3,0.5,0.5,1.3,11.6,36,36.0,5.2-11.2,0.47,3.3-7.6,0.435,1.1-1.2,0.914,4.1,1.7,0.4,0.6,0.6,1.7,14.9,0.636,0.618,0.684,0.112,0.405,16.7,0.48,2.82,16.1,0.099,0.032,0.131,130.1,112.4,5.8,1.3,7.1
Tyrese Proctor,Duke,Junior,PG,"6'5.5""(6'7.25"" wingspan)",183 lbs,42nd|SAC,43rd,21.22 yrs,"Apr 1, 2004",Australia,"Sydney, Australia",NBA Global AcademyNBA Global Academy,,"Turnovers (3 pluses), EFG% (2 pluses), Off. Rating (1 pluses), 3P% (1 pluses), Def. Win Shares (1 pluses), 2P% (1 pluses)","Assists (3 minuses), AST%/Usage (3 minuses), FT% (3 minuses), PER (3 minuses), FTA Rate (2 minuses), Steals (2 minuses), Points (1 minuses), Wingspan Ratio (1 minuses), Blocks (1 minuses), Rebounds (1 minuses), Def. Rebounds (1 minuses), Off. Win Shares (1 minuses), Off. Rebounds (1 minuses), Draft Age (1 minuses)","36.5""",10.75,3.0,3.19,"8'4.5""","6'7.25""",38,29.9,4.3-9.6,0.452,2.3-5.8,0.405,1.3-2.0,0.68,3.0,2.2,0.1,0.8,1.1,1.9,12.4,38,36.0,5.2-11.6,0.452,2.8-7.0,0.405,1.6-2.4,0.68,3.6,2.7,0.1,0.9,1.3,2.3,14.9,0.587,0.574,0.603,0.205,0.364,20.1,0.64,2.12,16.1,0.102,0.074,0.176,123.1,100.6,4.4,3.1,7.4
John Tonje,Wisconsin,Senior,SG,"6'6""(6'9"" wingspan)",212 lbs,45th|CHI,44th,24.16 yrs,"Apr 23, 2001",USA,"North Omaha, NE",Omaha Central High SchoolOmaha Central HS,,"FTA Rate (4 pluses), FT% (3 pluses), TS% (3 pluses), Points (3 pluses), Off. Rating (3 pluses), Off. Win Shares (2 pluses), Proj NBA 3P% (2 pluses), Off. BPM (2 pluses), Win Shares (2 pluses), BPM (1 pluses), PER (1 pluses), 2P% (1 pluses), Fouls (1 pluses), Def. Rebounds (1 pluses), EFG% (1 pluses)","Draft Age (4 minuses), Def. Rating (2 minuses), Steals (2 minuses), AST%/Usage (2 minuses), Blocks (1 minuses), Assists (1 minuses), AST/TO (1 minuses)","37.0""",11.14,3.21,3.2,"8'6.5""","6'9""",37,31.1,5.5-11.9,0.465,2.3-5.9,0.388,6.2-6.9,0.909,5.3,1.8,0.2,0.7,1.8,1.7,19.6,37,36.0,6.4-13.7,0.465,2.7-6.8,0.388,7.2-7.9,0.909,6.1,2.1,0.3,0.8,2.1,2.0,22.6,0.647,0.562,0.499,0.579,0.392,28.0,0.42,0.99,24.8,0.163,0.056,0.222,128.2,105.2,8.6,2.4,11.0
Rocco Zikarsky,Brisbane (NBL),International,C,"7'4.25""(7'4.75"" wingspan)",257 lbs,47th|MIL,45th,18.95 yrs,"Jul 10, 2006",Australia,"Sunshine Coast, Australia",,,"Draft Age (4 pluses), Off. Rebounds (2 pluses), Turnovers (2 pluses)","Def. Rating (4 minuses), PER (4 minuses), TS% (3 minuses), Wingspan Ratio (2 minuses), EFG% (2 minuses), FG% (2 minuses), 2P% (2 minuses), AST%/Usage (2 minuses), Points (1 minuses), Def. Rebounds (1 minuses), Assists (1 minuses)","31.5""",11.92,3.0,3.48,"9'6.5""","7'4.75""",20,12.2,1.8-3.6,0.5,0.1-0.3,0.2,1.0-1.6,0.625,3.5,0.3,0.7,0.3,0.6,1.3,4.7,20,36.0,5.3-10.7,0.5,0.1-0.7,0.2,3.0-4.7,0.625,10.4,0.9,2.1,0.9,1.8,3.9,13.8,0.533,0.507,0.069,0.444,0.309,17.1,0.2,0.5,16.0,,,,114.7,114.7,,,
Alijah Martin,Florida,Senior,SG,"6'2.75""(6'7.5"" wingspan)",208 lbs,48th|MEM,46th,23.48 yrs,"Dec 26, 2001",USA,"Summit, MS",North PikeNorth Pike,,"2P% (2 pluses), Fouls (2 pluses), Off. Rating (2 pluses), Def. BPM (1 pluses), Turnovers (1 pluses), Steals (1 pluses), BPM (1 pluses), Wingspan Ratio (1 pluses), Off. Rebounds (1 pluses)","Draft Age (4 minuses), Blocks (1 minuses), FTA Rate (1 minuses)","38.0""",11.06,3.05,3.11,"8'3.5""","6'7.5""",38,30.4,5.0-11.0,0.452,2.1-5.9,0.35,2.3-3.1,0.761,4.5,2.2,0.2,1.5,1.4,1.4,14.4,38,36.0,5.9-13.0,0.452,2.5-7.0,0.35,2.8-3.6,0.761,5.3,2.6,0.2,1.7,1.7,1.7,17.0,0.576,0.547,0.541,0.28,0.368,21.7,0.57,1.49,19.4,0.114,0.073,0.184,123.8,101.2,5.8,3.9,9.8
Jamir Watkins,Florida State,Senior,SG/SF,"6'6.25""(6'11.25"" wingspan)",215 lbs,49th|CLE,47th,23.96 yrs,"Jul 6, 2001",USA,"Trenton, NJ",Trenton CatholicTrenton Catholic,,"FTA Rate (4 pluses), Points (2 pluses), Def. Rebounds (1 pluses), Rebounds (1 pluses), Wingspan Ratio (1 pluses)","Fouls (4 minuses), Draft Age (4 minuses), Turnovers (2 minuses), 3P% (1 minuses), AST/TO (1 minuses), EFG% (1 minuses), Def. Rating (1 minuses), FG% (1 minuses), Off. Win Shares (1 minuses), Off. Rating (1 minuses), Win Shares (1 minuses), Def. BPM (1 minuses), AST%/Usage (1 minuses), BPM (1 minuses)","37.0""",11.19,3.21,3.14,"8'6.5""","6'11.25""",32,30.9,5.5-13.0,0.427,1.7-5.2,0.321,5.7-7.7,0.747,5.7,2.4,0.5,1.2,2.7,3.2,18.4,32,36.0,6.4-15.1,0.427,1.9-6.0,0.321,6.7-8.9,0.747,6.6,2.8,0.6,1.4,3.1,3.7,21.5,0.555,0.49,0.398,0.59,0.357,31.1,0.52,0.88,20.4,0.085,0.065,0.149,109.3,103.5,4.0,1.6,5.6
Javon Small,West Virginia,Senior,PG,"6'2.25""(6'4.75"" wingspan)",190 lbs,44th|OKC,48th,22.50 yrs,"Dec 19, 2002",USA,"South Bend, IN",AZ Compass PrepAZ Compass Prep,,"FT% (2 pluses), Fouls (2 pluses), Proj NBA 3P% (2 pluses), BPM (1 pluses), Def. Win Shares (1 pluses), Def. BPM (1 pluses), Off. BPM (1 pluses)","Draft Age (3 minuses), FG% (1 minuses), Off. Rebounds (1 minuses)","40.5""",10.74,2.87,3.07,"8'0""","6'4.75""",32,36.1,5.7-13.7,0.418,2.6-7.3,0.353,4.6-5.2,0.88,4.1,5.6,0.3,1.5,2.7,1.5,18.6,32,36.0,5.7-13.6,0.418,2.6-7.3,0.353,4.5-5.2,0.88,4.1,5.6,0.3,1.5,2.7,1.5,18.5,0.576,0.513,0.537,0.379,0.387,28.2,1.24,2.07,22.3,0.114,0.076,0.187,115.4,100.4,7.0,3.6,10.6
Eric Dixon,Villanova,Senior,PF,"6'8.75""(6'11.5"" wingspan)",259 lbs,46th|ORL,49th,24.40 yrs,"Jan 26, 2001",USA,"Willow Grove, PA",Abington Senior High SchoolAbington Senior HS,,"Proj NBA 3P% (4 pluses), Points (3 pluses), FT% (2 pluses), Off. BPM (2 pluses), Fouls (2 pluses), Off. Win Shares (1 pluses), 3P% (1 pluses)","Def. Rating (4 minuses), Rebounds (4 minuses), Def. Win Shares (4 minuses), Draft Age (4 minuses), Def. Rebounds (3 minuses), Blocks (3 minuses), Def. BPM (3 minuses), Off. Rebounds (3 minuses), 2P% (2 minuses), FG% (2 minuses), FTA Rate (1 minuses), Steals (1 minuses)","32.5""",11.56,3.09,3.41,"8'8""","6'11.5""",35,34.8,7.7-17.1,0.451,2.9-7.2,0.407,5.0-6.1,0.813,5.1,1.9,0.3,0.8,2.1,2.0,23.3,35,36.0,8.0-17.6,0.451,3.0-7.5,0.407,5.1-6.3,0.813,5.3,2.0,0.3,0.9,2.2,2.1,24.1,0.583,0.537,0.424,0.358,0.386,34.7,0.38,0.89,25.7,0.154,0.039,0.194,119.5,109.9,8.3,0.1,8.5
Ryan Nembhard,Gonzaga,Senior,PG,"6'0.25""(6'2.25"" wingspan)",176 lbs,50th|NY,50th,22.28 yrs,"Mar 10, 2003",Canada,"Aurora, ON",Montverde AcademyMontverde Academy,#62 |2021,"AST%/Usage (4 pluses), AST/TO (4 pluses), Assists (4 pluses), Fouls (2 pluses), 3P% (1 pluses), Off. Rating (1 pluses)","Points (3 minuses), Off. Rebounds (3 minuses), Draft Age (3 minuses), Rebounds (2 minuses), Blocks (2 minuses), PER (2 minuses), Def. Rebounds (1 minuses), FTA Rate (1 minuses), Proj NBA 3P% (1 minuses), Wingspan Ratio (1 minuses), 2P% (1 minuses), Off. Win Shares (1 minuses), TS% (1 minuses)","32.5""",11.5,2.88,3.22,"7'10""","6'2.25""",35,35.1,3.8-8.5,0.446,1.1-2.7,0.404,1.9-2.5,0.77,3.0,9.8,0.1,1.7,2.5,1.6,10.5,35,36.0,3.9-8.7,0.446,1.1-2.8,0.404,2.0-2.6,0.77,3.0,10.1,0.1,1.8,2.5,1.6,10.8,0.547,0.51,0.318,0.294,0.349,17.0,2.44,4.0,18.0,0.101,0.068,0.169,121.2,101.8,5.0,3.1,8.1
Lachlan Olbrich,Illawarra (NBL),International,PF,"6'10""(6'11.25"" wingspan)",230 lbs,51st|LAC,51st,21.47 yrs,"Dec 30, 2003",Australia,"Adelaide, Australia",Reynella East CollegeReynella East College,,"AST/TO (4 pluses), Assists (3 pluses), FG% (3 pluses), 2P% (3 pluses), AST%/Usage (2 pluses), EFG% (2 pluses), Off. Rating (1 pluses), TS% (1 pluses)","Def. Rating (4 minuses), Fouls (3 minuses), FT% (3 minuses), Proj NBA 3P% (3 minuses), Def. Rebounds (2 minuses), Wingspan Ratio (2 minuses), PER (2 minuses), 3P% (2 minuses), Rebounds (1 minuses), Blocks (1 minuses), Draft Age (1 minuses)","31.0""",11.9,3.0,3.45,"8'11.5""","6'11.25""",40,16.9,3.7-6.0,0.619,0.1-0.4,0.2,1.5-2.7,0.546,3.9,1.8,0.5,0.5,1.0,2.4,9.0,40,36.0,7.9-12.8,0.619,0.2-0.8,0.2,3.2-5.8,0.546,8.2,3.7,1.0,1.0,2.1,5.0,19.1,0.617,0.626,0.063,0.452,0.299,19.9,0.73,1.75,20.2,,,,125.5,112.5,,,
Kobe Sanders,Nevada,Senior,SG,"6'8.25""(6'8.25"" wingspan)",203 lbs,55th|LAL,52nd,23.06 yrs,"May 30, 2002",USA,"San Diego, CA",Christian High SchoolChristian HS,,"AST/TO (3 pluses), Assists (3 pluses), AST%/Usage (3 pluses), FTA Rate (2 pluses)","Draft Age (4 minuses), Wingspan Ratio (3 minuses), Def. Rating (2 minuses), Rebounds (1 minuses), Off. Rebounds (1 minuses), Def. BPM (1 minuses), Def. Win Shares (1 minuses), Blocks (1 minuses), 3P% (1 minuses), Def. Rebounds (1 minuses)","36.0""",10.95,3.0,3.19,"8'7""","6'8.25""",33,31.7,5.2-11.4,0.46,1.2-3.6,0.342,4.1-5.2,0.795,3.9,4.5,0.3,1.1,1.8,2.2,15.8,33,36.0,6.0-13.0,0.46,1.4-4.1,0.342,4.7-5.9,0.795,4.4,5.1,0.3,1.3,2.1,2.5,18.0,0.572,0.515,0.319,0.455,0.355,27.1,1.1,2.41,22.0,0.122,0.054,0.176,118.8,106.5,5.6,1.5,7.0
Vladislav Goldin,Michigan,Senior,C,"7'1.25""(7'5.25"" wingspan)",253 lbs,52nd|PHX,53rd,24.11 yrs,"May 12, 2001",Russia,"Nalchik, Russia",Putnam Science AcademyPutnam Science Academy,,"Points (2 pluses), TS% (1 pluses), Fouls (1 pluses), Off. BPM (1 pluses), FT% (1 pluses), FTA Rate (1 pluses), 2P% (1 pluses), 3P% (1 pluses), EFG% (1 pluses), Proj NBA 3P% (1 pluses), BPM (1 pluses)","Draft Age (4 minuses), Def. Rating (2 minuses), Turnovers (2 minuses), Rebounds (1 minuses), Blocks (1 minuses), Def. Rebounds (1 minuses), Def. Win Shares (1 minuses), Steals (1 minuses), AST/TO (1 minuses), Off. Rebounds (1 minuses)","30.0""",11.76,2.95,3.53,"9'3""","7'5.25""",37,27.5,6.0-9.9,0.607,0.3-0.9,0.333,4.3-5.9,0.731,7.0,1.1,1.4,0.5,2.3,2.0,16.6,37,36.0,7.8-12.9,0.607,0.4-1.2,0.333,5.7-7.7,0.731,9.2,1.4,1.8,0.7,3.0,2.6,21.7,0.654,0.622,0.09,0.598,0.329,26.7,0.32,0.47,25.7,0.13,0.075,0.204,121.5,100.0,6.6,3.8,10.4
Hunter Sallis,Wake Forest,Senior,SG/PG,"6'5""(6'10"" wingspan)",181 lbs,53rd|UTA,54th,22.24 yrs,"Mar 26, 2003",USA,"Omaha, NE",Millard North High SchoolMillard North HS,#16 |2021,"2P% (1 pluses), Wingspan Ratio (1 pluses)","3P% (3 minuses), Draft Age (3 minuses), Off. Win Shares (2 minuses), Off. Rebounds (2 minuses), Win Shares (2 minuses), Off. Rating (1 minuses), Off. BPM (1 minuses), Def. Rating (1 minuses), PER (1 minuses), EFG% (1 minuses), Proj NBA 3P% (1 minuses), TS% (1 minuses), BPM (1 minuses)","37.5""",10.99,2.94,3.22,"8'4""","6'10""",32,35.9,6.6-14.4,0.457,1.3-4.8,0.277,3.7-4.6,0.804,5.1,2.8,0.5,1.2,2.4,2.3,18.3,32,36.0,6.6-14.5,0.457,1.3-4.9,0.277,3.7-4.6,0.804,5.1,2.8,0.5,1.2,2.4,2.3,18.3,0.549,0.503,0.335,0.32,0.353,27.7,0.65,1.15,18.8,0.066,0.066,0.132,107.6,102.5,3.2,2.4,5.6
