name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3_4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Amari Williams,Kentucky,Senior,C,"7'0""",262 lbs,54th|IND,55th,23.39 yrs,"Jan 28, 2002",United Kingdom,"Nottingham, England",Myerscough CollegeMyerscough College,,"Assists (4 pluses), AST%/Usage (4 pluses), Def. Rebounds (4 pluses), AST/TO (3 pluses), Rebounds (3 pluses), FTA Rate (3 pluses), Def. BPM (1 pluses)","Draft Age (4 minuses), Turnovers (3 minuses), Def. Rating (3 minuses), Def. Win Shares (1 minuses), Win Shares (1 minuses), Blocks (1 minuses), Proj NBA 3P% (1 minuses), PER (1 minuses), Off. Win Shares (1 minuses)",,,,,,,36,22.8,3.8-6.8,0.561,0.0-0.1,0.25,3.2-5.1,0.623,8.5,3.2,1.2,0.6,2.3,2.2,10.9,36,36.0,6.1-10.8,0.561,0.0-0.2,0.25,5.0-8.0,0.623,13.4,5.0,1.9,0.9,3.6,3.5,17.2,0.587,0.563,0.016,0.744,0.307,24.6,1.0,1.4,24.1,0.102,0.068,0.171,114.9,101.5,5.2,4.7,9.9
Micah Peavy,Georgetown,Senior,SG/SF,"6'7.5""(6'7.25"" wingspan)",212 lbs,57th|ORL,56th,23.93 yrs,"Jul 16, 2001",USA,"Cibolo, TX",Duncanville High SchoolDuncanville HS,#36 |2020,"Steals (3 pluses), Off. Rebounds (1 pluses), FG% (1 pluses), Assists (1 pluses), AST%/Usage (1 pluses), 3P% (1 pluses), Def. BPM (1 pluses)","Draft Age (4 minuses), Wingspan Ratio (3 minuses), FT% (3 minuses), FTA Rate (2 minuses), Proj NBA 3P% (2 minuses), Off. Win Shares (2 minuses), Fouls (2 minuses), Win Shares (1 minuses), Off. BPM (1 minuses), Off. Rating (1 minuses)","35.5""",10.9,3.06,3.13,"8'5""","6'7.25""",32,37.0,6.8-14.2,0.481,1.6-4.1,0.4,1.9-2.8,0.659,5.8,3.6,0.5,2.3,2.6,2.9,17.2,32,36.0,6.7-13.8,0.481,1.6-4.0,0.4,1.8-2.8,0.659,5.6,3.5,0.5,2.3,2.5,2.9,16.7,0.552,0.538,0.286,0.2,0.342,24.7,0.81,1.37,19.7,0.071,0.071,0.142,109.8,101.1,3.1,3.2,6.3
RJ Luis Jr.,St. John's,Junior,SF,"6'7""(6'10.5"" wingspan)",210 lbs,56th|MEM,57th,22.56 yrs,"Nov 27, 2002",USA,"Miami, FL",Mt. Zion PrepMt. Zion Prep,,"Def. Win Shares (2 pluses), Points (2 pluses), Def. Rating (1 pluses), Def. BPM (1 pluses), Off. Rebounds (1 pluses), Steals (1 pluses), Rebounds (1 pluses)","Draft Age (3 minuses), EFG% (2 minuses), TS% (1 minuses), 2P% (1 minuses), FG% (1 minuses), AST%/Usage (1 minuses)","38.0""",11.24,2.98,3.13,"8'7.5""","6'10.5""",35,31.8,6.5-14.9,0.439,1.3-3.9,0.336,3.8-5.1,0.747,7.2,2.0,0.6,1.4,2.2,2.2,18.2,35,36.0,7.4-16.9,0.439,1.5-4.4,0.336,4.3-5.8,0.747,8.1,2.3,0.6,1.6,2.5,2.5,20.6,0.525,0.483,0.262,0.341,0.35,28.9,0.43,0.93,21.3,0.09,0.101,0.19,111.4,92.8,4.7,4.0,8.6
Brice Williams,Nebraska,Senior,SG,"6'6.5""(6'10.75"" wingspan)",206 lbs,59th|HOU,58th,23.96 yrs,"Jul 5, 2001",USA,"Huntersville, NC",Hopewell High SchoolHopewell HS,,"FT% (2 pluses), Points (2 pluses), FTA Rate (2 pluses), TS% (1 pluses), Fouls (1 pluses), Proj NBA 3P% (1 pluses), 2P% (1 pluses), Off. BPM (1 pluses)","Draft Age (4 minuses), Def. Rating (3 minuses), Off. Rebounds (2 minuses), Rebounds (1 minuses), Def. Win Shares (1 minuses), Blocks (1 minuses)","32.5""",11.19,2.98,3.2,"8'7""","6'10.75""",35,34.1,6.5-13.8,0.471,1.9-5.3,0.37,5.4-6.1,0.883,4.1,2.9,0.3,1.1,2.4,1.8,20.4,35,36.0,6.9-14.6,0.471,2.1-5.6,0.37,5.7-6.5,0.883,4.3,3.0,0.3,1.1,2.5,1.9,21.5,0.609,0.541,0.38,0.442,0.379,28.7,0.63,1.2,22.4,0.124,0.05,0.171,118.5,107.5,6.2,1.8,8.0
Brooks Barnhizer,Northwestern,Senior,SF,"6'6""",215 lbs,,59th,23.30 yrs,"Mar 2, 2002",USA,"South Bend, IN",Jefferson High SchoolJefferson HS,,"Steals (3 pluses), Assists (3 pluses), Def. BPM (2 pluses), Fouls (2 pluses), Def. Rebounds (2 pluses), AST%/Usage (2 pluses), AST/TO (1 pluses), Def. Win Shares (1 pluses), Rebounds (1 pluses), BPM (1 pluses), Blocks (1 pluses)","Draft Age (4 minuses), EFG% (3 minuses), TS% (3 minuses), Off. Win Shares (2 minuses), 3P% (2 minuses), FG% (2 minuses), Off. Rating (2 minuses), 2P% (2 minuses), Win Shares (1 minuses), Turnovers (1 minuses), Proj NBA 3P% (1 minuses)",,,,,,,17,36.9,6.1-14.6,0.414,1.0-3.8,0.266,4.0-5.2,0.764,8.8,4.2,1.1,2.3,2.8,1.7,17.1,17,36.0,5.9-14.3,0.414,1.0-3.7,0.266,3.9-5.1,0.764,8.6,4.1,1.1,2.2,2.7,1.7,16.7,0.5,0.448,0.257,0.357,0.341,28.1,0.85,1.53,21.6,0.051,0.089,0.14,103.8,96.2,4.8,4.9,9.7
Max Shulga,VCU,Senior,PG/SG,"6'5.5""(6'5.75"" wingspan)",206 lbs,58th|CLE,60th,22.99 yrs,"Jun 25, 2002",Ukraine,"Kyiv, Ukraine",Basketball School of ExcellenceBasketball School of Excellence,,"Off. Rebounds (4 pluses), Off. Rating (3 pluses), Rebounds (3 pluses), Def. Win Shares (3 pluses), Turnovers (2 pluses), FTA Rate (2 pluses), Win Shares (2 pluses), Def. Rating (1 pluses), Def. Rebounds (1 pluses), AST/TO (1 pluses), Def. BPM (1 pluses), TS% (1 pluses), Steals (1 pluses)","Wingspan Ratio (3 minuses), Draft Age (3 minuses), Blocks (1 minuses), Assists (1 minuses)","34.5""",11.35,3.06,3.21,"8'3""","6'5.75""",35,32.8,4.4-10.1,0.435,2.1-5.3,0.387,4.2-5.4,0.783,5.9,4.0,0.1,1.8,1.7,2.0,15.0,35,36.0,4.8-11.0,0.435,2.3-5.8,0.387,4.6-5.9,0.783,6.4,4.4,0.1,1.9,1.9,2.2,16.5,0.595,0.537,0.528,0.537,0.369,21.9,1.05,2.36,23.2,0.15,0.094,0.244,130.4,94.8,5.8,3.6,9.4
Izan Almansa,Perth (NBL),International,PF,"6'10.5""(7'1.75"" wingspan)",220 lbs,,61st,20.04 yrs,"Jun 7, 2005",Spain,"Murcia, Spain",,,"Turnovers (3 pluses), AST/TO (3 pluses)","Def. Rating (4 minuses), PER (3 minuses), FT% (2 minuses), Blocks (2 minuses), Proj NBA 3P% (2 minuses), TS% (1 minuses), FTA Rate (1 minuses), Fouls (1 minuses), Def. Rebounds (1 minuses), Points (1 minuses)","34.0""",11.46,2.93,3.33,"9'1.5""","7'1.75""",36,16.1,2.9-5.6,0.52,0.2-0.6,0.304,1.1-1.9,0.586,4.0,0.8,0.3,0.4,0.6,1.7,7.2,36,36.0,6.5-12.6,0.52,0.4-1.4,0.304,2.5-4.4,0.586,9.0,1.7,0.7,0.9,1.2,3.7,16.0,0.548,0.537,0.114,0.347,0.308,18.1,0.39,1.4,16.1,,,,119.4,116.6,,,
Tamar Bates,Missouri,Senior,SG,"6'5""(6'10.25"" wingspan)",191 lbs,,62nd,22.33 yrs,"Feb 21, 2003",USA,"Kansas City, KS",IMG AcademyIMG Academy,#25 |2021,"FT% (4 pluses), 2P% (3 pluses), TS% (3 pluses), FG% (2 pluses), Off. Rating (2 pluses), EFG% (2 pluses), Proj NBA 3P% (2 pluses), Wingspan Ratio (1 pluses), Steals (1 pluses), Turnovers (1 pluses)","Def. Rating (3 minuses), Assists (3 minuses), Draft Age (3 minuses), AST%/Usage (2 minuses), Def. Rebounds (2 minuses), AST/TO (2 minuses), Def. Win Shares (2 minuses), Rebounds (2 minuses), Blocks (1 minuses)","33.5""",10.75,2.99,3.26,"8'7""","6'10.25""",34,26.0,4.6-9.0,0.508,1.5-3.9,0.397,2.6-2.7,0.946,2.6,1.0,0.1,1.3,1.3,1.8,13.3,34,36.0,6.4-12.5,0.508,2.1-5.3,0.397,3.5-3.8,0.946,3.6,1.4,0.2,1.8,1.8,2.4,18.4,0.643,0.593,0.427,0.3,0.389,22.1,0.34,0.77,20.4,0.122,0.041,0.168,126.9,109.0,5.8,2.0,7.8
Viktor Lakhin,Clemson,Senior,C,"6'11""",245 lbs,,63rd,23.89 yrs,"Jul 30, 2001",Russia,"Anapa, Russia",,,"Steals (3 pluses), Assists (2 pluses), Proj NBA 3P% (2 pluses), AST/TO (2 pluses), 3P% (1 pluses), AST%/Usage (1 pluses)","Draft Age (4 minuses), FTA Rate (2 minuses), FG% (2 minuses), Fouls (1 minuses), TS% (1 minuses), 2P% (1 minuses), EFG% (1 minuses), Def. Rebounds (1 minuses), Rebounds (1 minuses)",,,,,,,34,23.6,4.4-8.7,0.507,0.7-1.9,0.375,1.9-2.7,0.696,6.4,1.5,1.5,1.0,1.5,2.9,11.4,34,36.0,6.7-13.3,0.507,1.1-2.9,0.375,2.9-4.1,0.696,9.7,2.3,2.2,1.6,2.3,4.3,17.4,0.571,0.547,0.216,0.311,0.337,25.7,0.52,1.0,25.1,0.11,0.1,0.209,117.1,93.4,4.4,4.4,8.8
Will Richard,Florida,Senior,SG,"6'4""",206 lbs,,64th,22.49 yrs,"Dec 24, 2002",USA,"Fairburn, GA",Woodward AcademyWoodward Academy,,"2P% (4 pluses), Def. BPM (3 pluses), Off. Rating (2 pluses), EFG% (2 pluses), TS% (2 pluses), Steals (1 pluses), FT% (1 pluses), FG% (1 pluses), Turnovers (1 pluses), BPM (1 pluses), Proj NBA 3P% (1 pluses), Def. Win Shares (1 pluses)","Draft Age (3 minuses), FTA Rate (1 minuses), Points (1 minuses), PER (1 minuses), Assists (1 minuses)",,,,,,,40,31.6,4.6-9.5,0.487,2.0-5.6,0.359,2.0-2.4,0.844,4.6,1.9,0.3,1.7,1.6,2.3,13.3,40,36.0,5.3-10.8,0.487,2.3-6.3,0.359,2.3-2.7,0.844,5.2,2.1,0.4,1.9,1.8,2.6,15.1,0.624,0.592,0.587,0.253,0.377,18.3,0.54,1.19,18.3,0.104,0.076,0.18,126.8,100.3,4.9,4.7,9.6
Grant Nelson,Alabama,Senior,PF,"6'11.25""(7'0"" wingspan)",230 lbs,,65th,23.26 yrs,"Mar 18, 2002",USA,"Devils Lake, ND",Devils Lake High SchoolDevils Lake HS,,"2P% (2 pluses), Def. Rebounds (1 pluses), Assists (1 pluses), Def. BPM (1 pluses)","Draft Age (4 minuses), Def. Rating (3 minuses), PER (2 minuses), Wingspan Ratio (2 minuses), Win Shares (2 minuses), Def. Win Shares (2 minuses), Steals (2 minuses), Off. Win Shares (1 minuses), Fouls (1 minuses), Off. Rebounds (1 minuses), Off. BPM (1 minuses), 3P% (1 minuses)","30.0""",10.51,2.58,3.23,"9'1""","7'0""",37,25.4,4.2-8.0,0.522,0.6-2.5,0.258,2.5-3.7,0.667,7.6,1.6,1.2,0.5,1.8,2.6,11.5,37,36.0,5.9-11.3,0.522,0.9-3.6,0.258,3.5-5.3,0.667,10.7,2.3,1.7,0.7,2.6,3.8,16.3,0.588,0.563,0.315,0.468,0.326,20.7,0.5,0.88,18.5,0.081,0.06,0.141,115.3,104.3,3.5,3.9,7.4
Chucky Hepburn,Louisville,Senior,PG,"6'2""",190 lbs,,66th,22.36 yrs,"Feb 9, 2003",USA,"Omaha, NE",Bellevue West High SchoolBellevue West HS,,"Steals (3 pluses), Def. BPM (2 pluses), FTA Rate (1 pluses), 2P% (1 pluses), FT% (1 pluses), Def. Win Shares (1 pluses), AST%/Usage (1 pluses)","Draft Age (3 minuses), Fouls (2 minuses), Blocks (1 minuses), 3P% (1 minuses), Rebounds (1 minuses), Def. Rebounds (1 minuses), Off. Rebounds (1 minuses), FG% (1 minuses)",,,,,,,34,34.8,4.9-11.3,0.432,1.9-5.6,0.328,4.8-5.6,0.844,3.5,5.8,0.1,2.4,3.0,2.7,16.4,34,36.0,5.0-11.7,0.432,1.9-5.8,0.328,4.9-5.8,0.844,3.6,6.0,0.1,2.5,3.1,2.8,16.9,0.586,0.514,0.5,0.5,0.37,24.4,1.28,1.92,20.9,0.111,0.078,0.193,118.2,99.5,4.5,4.8,9.3
Mark Sears,Alabama,Senior,PG,"6'0""(6'2"" wingspan)",183 lbs,,67th,23.33 yrs,"Feb 19, 2002",USA,"Muscle Shoals, AL",Hargrave Military AcademyHargrave Military Academy,,"Proj NBA 3P% (2 pluses), Fouls (1 pluses), FT% (1 pluses), FTA Rate (1 pluses), Points (1 pluses)","Def. Rating (4 minuses), Draft Age (4 minuses), Def. Win Shares (2 minuses), FG% (2 minuses), Steals (2 minuses), Rebounds (2 minuses), Def. Rebounds (1 minuses), Blocks (1 minuses), PER (1 minuses), Off. Rebounds (1 minuses), Win Shares (1 minuses), Def. BPM (1 minuses), Wingspan Ratio (1 minuses), EFG% (1 minuses), 2P% (1 minuses)","37.5""",10.96,3.25,3.28,"7'8.5""","6'2""",37,32.3,5.4-13.4,0.403,2.4-7.1,0.345,5.4-6.4,0.844,2.9,5.1,0.1,0.9,2.7,1.5,18.6,37,36.0,6.0-15.0,0.403,2.7-7.9,0.345,6.0-7.1,0.844,3.3,5.7,0.1,1.0,3.0,1.7,20.8,0.567,0.494,0.526,0.478,0.384,26.9,0.98,1.92,18.9,0.124,0.03,0.154,119.4,112.3,6.0,1.2,7.1
Dink Pate,Mexico City,G League,SF,"6'7.5""(6'9.75"" wingspan)",201 lbs,,68th,19.28 yrs,"Mar 10, 2006",USA,"Dallas, TX",L.G. Pinkston High SchoolL.G. Pinkston HS,#30 |2023,"Draft Age (3 pluses), Def. Rebounds (1 pluses)","Off. Win Shares (4 minuses), Win Shares (4 minuses), PER (4 minuses), FT% (4 minuses), FTA Rate (3 minuses), Blocks (3 minuses), TS% (3 minuses), Off. Rebounds (3 minuses), EFG% (3 minuses), Proj NBA 3P% (3 minuses), 3P% (2 minuses), FG% (2 minuses), Def. Win Shares (2 minuses), Steals (2 minuses), Points (2 minuses), Wingspan Ratio (1 minuses), 2P% (1 minuses)","32.5""",10.63,2.97,3.29,"8'8""","6'9.75""",34,26.9,4.0-9.8,0.407,0.9-3.5,0.258,0.7-1.3,0.581,5.2,1.9,0.1,0.6,1.7,2.0,10.1,34,36.0,5.3-13.1,0.407,1.2-4.7,0.258,1.0-1.7,0.581,6.9,2.5,0.1,0.8,2.3,2.7,13.5,0.485,0.453,0.361,0.13,0.32,20.4,0.52,1.09,8.1,-0.083,0.048,-0.031,,,,,
Payton Sandfort,Iowa,Senior,SF,"6'7.5""(6'8"" wingspan)",212 lbs,,69th,22.94 yrs,"Jul 12, 2002",USA,"Wuakee, IA",Waukee High SchoolWaukee HS,,"FT% (3 pluses), Proj NBA 3P% (3 pluses), AST/TO (2 pluses), Assists (1 pluses), Points (1 pluses)","Def. Rating (4 minuses), Def. Win Shares (3 minuses), Def. BPM (3 minuses), Draft Age (3 minuses), Wingspan Ratio (2 minuses), FG% (2 minuses), Win Shares (2 minuses), BPM (2 minuses), FTA Rate (2 minuses), Off. Rebounds (1 minuses), PER (1 minuses), Steals (1 minuses), EFG% (1 minuses), Fouls (1 minuses), Off. Win Shares (1 minuses), 2P% (1 minuses), TS% (1 minuses)","28.0""",11.57,2.84,3.43,"8'8""","6'8""",33,31.9,5.6-13.8,0.407,2.5-7.5,0.34,3.0-3.3,0.891,6.0,2.9,0.7,0.8,1.8,2.6,16.7,33,36.0,6.3-15.5,0.407,2.9-8.4,0.34,3.3-3.8,0.891,6.8,3.2,0.8,0.9,2.0,3.0,18.9,0.545,0.5,0.544,0.242,0.393,26.9,0.57,1.61,18.5,0.08,0.034,0.114,111.0,111.8,4.2,0.2,4.4
Kobe Johnson,UCLA,Senior,SG,"6'6""",200 lbs,,70th,22.43 yrs,"Jan 15, 2003",USA,"Milwaukee, WI",Nicolet High SchoolNicolet HS,,"AST%/Usage (3 pluses), Def. BPM (3 pluses), Off. Rebounds (3 pluses), AST/TO (2 pluses), 2P% (2 pluses), Rebounds (2 pluses), Steals (2 pluses), Def. Win Shares (2 pluses), Assists (1 pluses), Def. Rebounds (1 pluses), Turnovers (1 pluses), EFG% (1 pluses)","Points (4 minuses), Fouls (4 minuses), Draft Age (3 minuses), PER (2 minuses), Proj NBA 3P% (2 minuses), Off. Win Shares (1 minuses), FT% (1 minuses), FTA Rate (1 minuses), Off. BPM (1 minuses), Blocks (1 minuses)",,,,,,,34,29.0,2.9-6.1,0.464,1.1-3.1,0.362,1.1-1.6,0.704,5.9,2.9,0.3,1.6,1.5,2.9,7.9,34,36.0,3.5-7.6,0.464,1.4-3.8,0.362,1.4-2.0,0.704,7.4,3.7,0.3,2.0,1.8,3.5,9.9,0.575,0.555,0.502,0.258,0.343,15.0,1.19,2.0,16.4,0.073,0.085,0.158,118.0,96.9,3.3,5.0,8.3
Jaxson Robinson,Kentucky,Senior,SG,"6'6""(6'11.25"" wingspan)",189 lbs,,71st,22.55 yrs,"Dec 3, 2002",USA,"Ada, OK",Ada High SchoolAda HS,,"Turnovers (3 pluses), AST/TO (2 pluses), Proj NBA 3P% (1 pluses), Wingspan Ratio (1 pluses), 2P% (1 pluses)","Def. Rating (4 minuses), FTA Rate (3 minuses), Def. Win Shares (3 minuses), Draft Age (3 minuses), Steals (2 minuses), Win Shares (2 minuses), PER (2 minuses), Def. BPM (2 minuses), Off. Win Shares (1 minuses), AST%/Usage (1 minuses), Rebounds (1 minuses), Assists (1 minuses), Off. Rebounds (1 minuses), FG% (1 minuses), BPM (1 minuses), Def. Rebounds (1 minuses)","34.0""",11.39,3.06,3.17,"8'7""","6'11.25""",24,28.1,4.6-10.7,0.432,2.6-6.9,0.376,1.2-1.6,0.763,3.5,1.7,0.5,0.6,0.9,1.9,13.0,24,36.0,5.9-13.7,0.432,3.3-8.8,0.376,1.5-2.0,0.763,4.5,2.2,0.6,0.7,1.2,2.4,16.7,0.569,0.553,0.642,0.148,0.383,21.4,0.5,1.86,16.1,0.083,0.036,0.119,116.7,111.6,4.6,0.9,5.5
Kadary Richmond,St. John's,Senior,PG/SG,"6'5""",180 lbs,,72nd,23.82 yrs,"Aug 25, 2001",USA,"Brooklyn, NY",Brewster AcademyBrewster Academy,#91 |2020,"Def. BPM (4 pluses), Def. Win Shares (4 pluses), Rebounds (4 pluses), Blocks (4 pluses), Def. Rebounds (3 pluses), Def. Rating (3 pluses), Off. Rebounds (3 pluses), AST/TO (2 pluses), Steals (2 pluses), FG% (1 pluses), AST%/Usage (1 pluses), Turnovers (1 pluses), BPM (1 pluses), 2P% (1 pluses)","3P% (4 minuses), Proj NBA 3P% (4 minuses), FT% (4 minuses), Draft Age (4 minuses), TS% (3 minuses), Off. Win Shares (2 minuses), Points (2 minuses), Off. BPM (2 minuses), FTA Rate (1 minuses), Off. Rating (1 minuses), PER (1 minuses), EFG% (1 minuses)",,,,,,,36,32.3,5.3-10.9,0.487,0.2-1.1,0.175,1.6-3.1,0.536,6.4,5.3,0.9,2.0,2.0,2.0,12.4,36,36.0,5.9-12.1,0.487,0.2-1.2,0.175,1.8-3.4,0.536,7.1,5.9,1.0,2.2,2.2,2.2,13.9,0.504,0.496,0.102,0.281,0.292,20.9,1.41,2.69,20.3,0.069,0.113,0.182,111.0,90.1,3.2,6.9,10.1
Caleb Love,Arizona,Senior,PG,"6'4""",195 lbs,,73rd,23.73 yrs,"Sep 27, 2001",USA,"St. Louis, MO",Christian Brothers College High SchoolChristian Brothers College HS,#18 |2020,"Fouls (3 pluses), FT% (3 pluses), Proj NBA 3P% (3 pluses), Turnovers (2 pluses), Def. Rebounds (1 pluses)","Draft Age (4 minuses), FG% (3 minuses), AST%/Usage (2 minuses), Def. Rating (2 minuses), Off. Rebounds (2 minuses), FTA Rate (2 minuses), PER (2 minuses), Win Shares (2 minuses), Assists (2 minuses), Off. Win Shares (1 minuses), TS% (1 minuses), EFG% (1 minuses), Steals (1 minuses), 2P% (1 minuses), 3P% (1 minuses)",,,,,,,37,34.1,5.8-14.5,0.398,2.6-7.8,0.34,3.0-3.4,0.889,4.4,3.4,0.3,1.2,1.9,1.2,17.2,37,36.0,6.1-15.4,0.398,2.8-8.2,0.34,3.2-3.6,0.889,4.7,3.6,0.3,1.2,2.1,1.3,18.2,0.534,0.489,0.535,0.234,0.391,25.8,0.71,1.76,17.7,0.089,0.051,0.14,114.4,107.3,5.3,2.1,7.5
Arthur Kaluma,Texas,Senior,PF,"6'7.25""(7'0.5"" wingspan)",222 lbs,,74th,23.30 yrs,"Mar 1, 2002",USA,"Glendale, AZ",Dream City ChristianDream City Christian,#48 |2021,"AST/TO (1 pluses), FT% (1 pluses), Proj NBA 3P% (1 pluses), Wingspan Ratio (1 pluses), Turnovers (1 pluses), AST%/Usage (1 pluses), Assists (1 pluses), Fouls (1 pluses)","Draft Age (4 minuses), Def. Rating (2 minuses), Off. Rebounds (2 minuses), PER (2 minuses), FG% (2 minuses), Win Shares (2 minuses), 2P% (1 minuses), Def. Win Shares (1 minuses), Points (1 minuses), EFG% (1 minuses), Off. Win Shares (1 minuses), Blocks (1 minuses)",,,,,,,33,29.3,4.3-9.2,0.462,1.0-2.8,0.359,2.8-3.5,0.784,7.5,1.8,0.9,0.9,1.6,2.1,12.3,33,36.0,5.3-11.4,0.462,1.2-3.4,0.359,3.4-4.3,0.784,9.2,2.2,1.1,1.2,1.9,2.6,15.1,0.564,0.516,0.302,0.38,0.351,21.8,0.54,1.15,20.0,0.087,0.066,0.153,115.5,102.2,4.5,3.1,7.6
